distance,nose,middle,rear
184,yes,yes,yes
199,yes,yes,yes
241,yes,yes,yes
217,yes,yes,yes
218,yes,yes,no
248,yes,yes,no
254,yes,yes,no
290,yes,yes,no
186,yes,no,yes
192,yes,no,yes
187,yes,no,yes
178,yes,no,yes
252,yes,no,no
278,yes,no,no
275,yes,no,no
265,yes,no,no
181,no,yes,yes
181,no,yes,yes
177,no,yes,yes
279,no,yes,yes
205,no,yes,no
209,no,yes,no
212,no,yes,no
200,no,yes,no
111,no,no,yes
92,no,no,yes
110,no,no,yes
95,no,no,yes
201,no,no,no
252,no,no,no
238,no,no,no
216,no,no,no
